title,url,language,category,file,summary,status
Cursor,https://vibe-hub.org/en/cursor,en,cursor,pages/en/cursor.md,"The mouse pointer changes shape to preview whether an area can be clicked, typed in, dragged, or is currently unavailable. When a mouse moves over an element, CSS…",ok
Dark Mode,https://vibe-hub.org/en/dark-mode,en,dark-mode,pages/en/dark-mode.md,"Dark mode is a switchable dark interface theme state, not merely a page with a black background. When someone chooses dark mode or their system prefers it, backgrounds…",ok
Validation,https://vibe-hub.org/en/data-validation,en,data-validation,pages/en/data-validation.md,"Check that incoming data has the expected shape and allowed values. A required field can be checked when someone leaves it, while cross-field rules usually need a…",ok
Database,https://vibe-hub.org/en/database,en,database,pages/en/database.md,"Store and find application data such as users, posts, and orders. After someone publishes a post, the backend stores it so it remains available after refresh or…",ok
DatePicker,https://vibe-hub.org/en/date-picker,en,date-picker,pages/en/date-picker.md,Choose a date or date range from a calendar. A date picker reduces ambiguity by showing dates in a calendar. It may select one day or a range. State the allowed dates…,ok
Deployment,https://vibe-hub.org/en/deployment,en,deployment,pages/en/deployment.md,"Build the project and make it available on a server. Deployment turns source code into a running website or service. It may install dependencies, build assets, set…",ok
Descriptions,https://vibe-hub.org/en/descriptions,en,descriptions,pages/en/descriptions.md,"Show the field names and values of one record. A description list pairs labels with read-only values for an order, account, or project. It may look similar to a form…",ok
Design Token,https://vibe-hub.org/en/design-token,en,design-token,pages/en/design-token.md,"A design token is a named variable that centrally stores and reuses design values such as color, spacing, and typography. A primary button color can be named…",ok
Diff,https://vibe-hub.org/en/diff,en,diff,pages/en/diff.md,"See exactly what changed between two states. A diff shows added, removed, and modified lines between the working tree, staged changes, commits, or branches. Read it…",ok
Disabled,https://vibe-hub.org/en/disabled,en,disabled,pages/en/disabled.md,Show that a control is currently unavailable. A disabled control cannot be operated in the current state. Use it when the action is visible and its future availability…,ok
Divider,https://vibe-hub.org/en/divider,en,divider,pages/en/divider.md,"Use a line to separate two different groups of content. A divider shows that one group has ended and another has begun. It works between list sections, menu groups, and…",ok
DNS,https://vibe-hub.org/en/dns,en,dns,pages/en/dns.md,"Connect a domain name to the service that should answer. DNS translates a domain into records that direct browsers and other clients to a host, email service, or…",ok
Doc Layout,https://vibe-hub.org/en/doc-layout,en,doc-layout,pages/en/doc-layout.md,"Combine section navigation, article content, and an on-page outline. A documentation layout often uses a left navigation for pages, a readable center column for the…",ok
Domain,https://vibe-hub.org/en/domain,en,domain,pages/en/domain.md,"Give a website a human-readable address. A domain name is the address people type, such as example.com. It is registered separately from the server that hosts the site…",ok
Drag,https://vibe-hub.org/en/drag,en,drag,pages/en/drag.md,"Move or reorder an item by holding and pulling it. Drag interaction works for rearranging cards, moving files, and choosing a range. Show what can be grabbed, where it…",ok
Drawer,https://vibe-hub.org/en/drawer,en,drawer,pages/en/drawer.md,"Slide in a side panel without leaving the current page. A drawer keeps the current page visible while showing details, filters, navigation, or a short editing task from…",ok
Dropdown,https://vibe-hub.org/en/dropdown,en,dropdown,pages/en/dropdown.md,Open a compact menu of actions or destinations. A dropdown keeps secondary choices behind a trigger when showing them all would add clutter. Name the trigger clearly…,ok
End-to-End Test,https://vibe-hub.org/en/e2e-test,en,e2e-test,pages/en/e2e-test.md,"An end-to-end test follows a complete system flow from a user's entry point to the final result. A browser can register, sign in, create a trip, and reach confirmation…",ok
Easing,https://vibe-hub.org/en/easing,en,easing,pages/en/easing.md,Control how motion speeds up and slows down. Easing changes the pace of a transition or animation over time. Ease-out often feels responsive for an element entering…,ok
Empty,https://vibe-hub.org/en/empty,en,empty,pages/en/empty.md,"Explain why no data is shown and what to do next. An empty state should not leave a blank area. Tell people what normally appears there, why it is empty now, and…",ok
Frontend Terms for Vibe Coding,https://vibe-hub.org/en,en,en,pages/en/index.md,"A visual glossary for people building with vibe coding. Explore frontend, backend, tech stack, AI, Git, and design terms through interfaces, real use cases, and clear…",ok
Env Var,https://vibe-hub.org/en/env-var,en,env-var,pages/en/env-var.md,"Provide configuration outside the source code. Environment variables supply values such as API endpoints, feature settings, and secret keys when a program starts.…",ok
Fade In / Out,https://vibe-hub.org/en/fade,en,fade,pages/en/fade.md,"Reveal or hide an element by changing its opacity. A fade is a simple transition between transparent and visible states. It works for overlays, messages, and content…",ok
FAQ,https://vibe-hub.org/en/faq,en,faq,pages/en/faq.md,"Answer common questions before visitors need to ask. A FAQ section handles repeated questions about price, setup, policy, or fit. Write questions in the visitor's…",ok
Feature Flag,https://vibe-hub.org/en/feature-flag,en,feature-flag,pages/en/feature-flag.md,A feature flag enables or disables a code path at runtime according to configuration or user conditions. The same deployed code can send employees to a new…,ok
File,https://vibe-hub.org/en/file,en,file,pages/en/file.md,"A UI row or card that shows one document, image, or attachment and its status. An upload list might show `project-plan.pdf`, 2.4 MB, and Uploaded. Make the filename…",ok
Filter,https://vibe-hub.org/en/filter,en,filter,pages/en/filter.md,"Filtering is a feature that narrows the current content collection using existing properties or conditions. A task list can keep only items matching owner, status, and…",ok
Flaky Test,https://vibe-hub.org/en/flaky-test,en,flaky-test,pages/en/flaky-test.md,"A flaky test sometimes passes and sometimes fails when the code has not changed. The same CI commit can time out occasionally, or parallel tests can race for one…",ok
Flex,https://vibe-hub.org/en/flex,en,flex,pages/en/flex.md,"Arrange items along one row or one column. Flexbox lays items out on a single main axis and handles alignment, spacing, wrapping, and flexible size. It is a good fit…",ok
Focus,https://vibe-hub.org/en/focus,en,focus,pages/en/focus.md,Show which element will receive keyboard input. Focus identifies the interactive element currently controlled by the keyboard or another input method. A visible focus…,ok
Footer,https://vibe-hub.org/en/footer,en,footer,pages/en/footer.md,"End the page with useful links, identity, and required information. A footer gives visitors another route to important pages and carries company details, legal links…",ok
Form,https://vibe-hub.org/en/form,en,form,pages/en/form.md,Collect several fields and submit them as one task. A form organizes multiple inputs into a task such as creating an account or placing an order. It needs clear labels…,ok
Frontend,https://vibe-hub.org/en/frontend,en,frontend,pages/en/frontend.md,"The layer people directly see, click, and type into. On a sign-up page, the fields, submit button, and pending, success, or error messages belong to the frontend…",ok
Git,https://vibe-hub.org/en/git,en,git,pages/en/git.md,"Keep a history of code changes so work can be compared and restored. Git records snapshots of a project and lets people compare changes, create independent branches…",ok
.gitignore,https://vibe-hub.org/en/gitignore,en,gitignore,pages/en/gitignore.md,"Tell Git which untracked files should stay out of version control. .gitignore patterns keep generated files, dependencies, local settings, and secrets from being added…",ok
Gradient,https://vibe-hub.org/en/gradient,en,gradient,pages/en/gradient.md,"Blend colors gradually across an area. A gradient moves smoothly between two or more colors. It can add depth, direction, or emphasis to a background and illustration.…",ok
Grid,https://vibe-hub.org/en/grid,en,grid,pages/en/grid.md,"Plan rows and columns as one layout system. CSS Grid controls two-dimensional layouts where rows and columns work together. It suits galleries, dashboards, and page…",ok
Header,https://vibe-hub.org/en/header,en,header,pages/en/header.md,"The top section of a page that introduces the site or page and often contains navigation. A Header usually holds the brand and the paths people need first, such as main…",ok
Hero,https://vibe-hub.org/en/hero,en,hero,pages/en/hero.md,"Use the opening area to explain the page's main point and next step. The Hero usually sits directly below the Header or Navbar. It may combine a headline, supporting…",ok
Hover,https://vibe-hub.org/en/hover,en,hover,pages/en/hover.md,Respond when a pointer rests over an interactive element. Hover can preview that an item is interactive or reveal secondary detail before a click. It does not exist on…,ok
HTML,https://vibe-hub.org/en/html,en,html,pages/en/html.md,"Describe the structure and meaning of a web page. HTML organizes a page into headings, paragraphs, links, forms, images, and other meaningful elements. CSS controls…",ok
HTTP,https://vibe-hub.org/en/http,en,http,pages/en/http.md,"Send a request and receive a response over the web. HTTP is the request-response protocol browsers and APIs use. A request includes a method, URL, headers, and…",ok
HTTPS,https://vibe-hub.org/en/https,en,https,pages/en/https.md,Encrypt the connection between the browser and the website. HTTPS is HTTP protected by TLS. It helps prevent other parties on the network from reading or changing the…,ok
Icon,https://vibe-hub.org/en/icon,en,icon,pages/en/icon.md,"A small, consistent visual symbol for an action, object, or status. Familiar icons such as search, download, and close help people scan quickly. For an unfamiliar or…",ok
Image,https://vibe-hub.org/en/image,en,image,pages/en/image.md,"Display an image with the right size, crop, and fallback. An image component can handle aspect ratio, cropping, lazy loading, preview, and loading failure consistently.…",ok
Input,https://vibe-hub.org/en/input,en,input,pages/en/input.md,"Let the user enter one line of text. Use a text input for an account name, nickname, search query, or anything else that fits on one line. Give it a label that stays…",ok
InputNumber,https://vibe-hub.org/en/input-number,en,input-number,pages/en/input-number.md,"Enter a number with a defined range and step. A number input works for quantity, stock, price, and other numeric values. It can limit the format, minimum, maximum, and…",ok
Integration Test,https://vibe-hub.org/en/integration-test,en,integration-test,pages/en/integration-test.md,"An integration test verifies that multiple modules or dependencies cooperate correctly. A registration form sends a name to an API, the API writes a database, then…",ok
JavaScript,https://vibe-hub.org/en/javascript,en,javascript,pages/en/javascript.md,"A programming language that makes a web page respond to actions and data. When someone marks a task complete, browser JavaScript can send a request, receive the updated…",ok
JSON,https://vibe-hub.org/en/json,en,json,pages/en/json.md,"Represent structured data as text that programs can exchange. JSON stores objects, arrays, strings, numbers, booleans, and null in a widely supported text format. APIs…",ok
Label,https://vibe-hub.org/en/label,en,label,pages/en/label.md,Visible text that tells people what a form control asks for. An Email label on a sign-in form should stay visible and focus its matching input when clicked. Put…,ok
Link,https://vibe-hub.org/en/link,en,link,pages/en/link.md,"Click to open another page, location, or file. A link takes people to another page, a place on the same page, or a downloadable file. Its text should make the…",ok
Lint,https://vibe-hub.org/en/lint,en,lint,pages/en/lint.md,Lint is static checking that uses source rules to find suspicious patterns and consistency problems without running the full program. Lint can locate unused variables…,ok
List,https://vibe-hub.org/en/list,en,list,pages/en/list.md,"Show similar items one after another. A list repeats the same structure for messages, articles, contacts, or other items that people scan from top to bottom. It is more…",ok
Margin,https://vibe-hub.org/en/margin,en,margin,pages/en/margin.md,"Create space outside an element. Margin controls the space between an element and the things around it. It helps separate groups, but it does not add room inside a box.…",ok
Markdown,https://vibe-hub.org/en/markdown,en,markdown,pages/en/markdown.md,"Write structured text with lightweight punctuation. Markdown uses simple characters for headings, lists, links, code, and emphasis. It is convenient for documentation…",ok
Model Context Protocol,https://vibe-hub.org/en/mcp,en,mcp,pages/en/mcp.md,"A protocol for connecting AI applications to external tools and sources such as calendars, files, and databases. With a calendar MCP server connected, an agent can…",ok
Menu,https://vibe-hub.org/en/menu,en,menu,pages/en/menu.md,"Help people move between the main sections of a product. A menu groups destinations and makes the current location visible. Keep labels consistent, group related items…",ok
Merge,https://vibe-hub.org/en/merge,en,merge,pages/en/merge.md,"Combine the commits from one branch into another. Merge brings two lines of history together. Git can combine independent changes automatically, but overlapping edits…",ok
Modal,https://vibe-hub.org/en/modal,en,modal,pages/en/modal.md,Pause the page for one focused decision or task. A modal appears above the page when the user must review or complete a focused task before continuing. It needs a clear…,ok
Monitoring,https://vibe-hub.org/en/monitoring,en,monitoring,pages/en/monitoring.md,"Monitoring continuously observes production metrics, logs, and alerts to find anomalies and judge system health. A login error rate can cross a threshold, trigger an…",ok
Multimodal AI,https://vibe-hub.org/en/multimodal,en,multimodal,pages/en/multimodal.md,"AI that can combine information such as text, images, audio, or video in one task. Send a screenshot of a phone checkout page with the question “Why is the payment…",ok
MVP,https://vibe-hub.org/en/mvp,en,mvp,pages/en/mvp.md,"The smallest real product or experiment that tests a key product assumption. To test whether freelancers will pay for payment reminders, a team can charge real…",ok
Navbar,https://vibe-hub.org/en/navbar,en,navbar,pages/en/navbar.md,"Keep the brand, main destinations, and key action easy to reach. A website navbar helps visitors understand where they can go and how to return home. Keep the number of…",ok
Next.js,https://vibe-hub.org/en/nextjs,en,nextjs,pages/en/nextjs.md,"A React framework for building full websites and web applications. When someone opens `/products/42`, Next.js can find that product page and fetch product data on the…",ok
Notification,https://vibe-hub.org/en/notification,en,notification,pages/en/notification.md,"Notify the user about an event with a title and details. A notification carries more information than a toast and suits background jobs, activity from other people, and…",ok
npm,https://vibe-hub.org/en/npm,en,npm,pages/en/npm.md,Install JavaScript packages and run project scripts. npm is a package manager and command runner for JavaScript projects. package.json records dependencies and named…,ok
Opacity,https://vibe-hub.org/en/opacity,en,opacity,pages/en/opacity.md,"Make an element and its contents more transparent. Opacity changes the transparency of an entire element, including its children. It can soften secondary or disabled…",ok
Overflow,https://vibe-hub.org/en/overflow,en,overflow,pages/en/overflow.md,"Overflow is the rule for how the browser shows, clips, or scrolls content that exceeds a container's available space. When a card has a fixed height, longer content can…",ok
Padding,https://vibe-hub.org/en/padding,en,padding,pages/en/padding.md,"Create space between a box and its content. Padding adds room inside an element, between its border and its content. It affects the visible size and click area of…",ok
Pagination,https://vibe-hub.org/en/pagination,en,pagination,pages/en/pagination.md,Move through a large result set in separate pages. Pagination breaks a long result set into stable pages and works well when people need to return to a position or…,ok
Popconfirm,https://vibe-hub.org/en/popconfirm,en,popconfirm,pages/en/popconfirm.md,"Ask for confirmation next to the action that caused it. A popconfirm is a small confirmation panel anchored to a button or link. It works for a simple, local action…",ok
Popover,https://vibe-hub.org/en/popover,en,popover,pages/en/popover.md,"Open a small panel with extra information or controls. A popover is anchored to a trigger and can contain richer content than a tooltip, such as a preview, explanation…",ok
Port,https://vibe-hub.org/en/port,en,port,pages/en/port.md,"A port is a numbered network entry that distinguishes services on the same host. After `npm run dev`, a page commonly opens at `http://localhost:3000`, while an API on…",ok
Position,https://vibe-hub.org/en/position,en,position,pages/en/position.md,"Place an element in normal flow, against a parent, or against the viewport. CSS position decides how an element is placed and whether offsets such as top and left…",ok
PRD,https://vibe-hub.org/en/prd,en,prd,pages/en/prd.md,"A product document that defines the user problem, scope, and success criteria. Before a team builds one-click meeting-notes export, a PRD explains who needs it, what…",ok
Pricing,https://vibe-hub.org/en/pricing,en,pricing,pages/en/pricing.md,"Help visitors compare plans, cost, and included value. A pricing section should make plan differences, billing periods, limits, and extra fees understandable. Highlight…",ok
Progress,https://vibe-hub.org/en/progress,en,progress,pages/en/progress.md,"Show how much of a task has been completed. A progress indicator helps people understand the state of an upload, installation, or multi-step task. Use a percentage when…",ok
Pull,https://vibe-hub.org/en/pull,en,pull,pages/en/pull.md,Download remote changes and integrate them into the current branch. Git pull usually runs fetch and then merge or rebase. It updates the current branch with work from…,ok
Pull Request,https://vibe-hub.org/en/pull-request,en,pull-request,pages/en/pull-request.md,"Ask others to review and merge the work from one branch. A pull request is a collaboration feature on Git hosting platforms, not a core Git command. It collects the…",ok
Push,https://vibe-hub.org/en/push,en,push,pages/en/push.md,"Upload local commits to a remote repository. Push sends commits and branch references to a remote such as GitHub. It shares committed history, not uncommitted files.…",ok
Python,https://vibe-hub.org/en/python,en,python,pages/en/python.md,A programming language often used to automate work on a computer or server. A Python script can read three Markdown notes and write their titles into `summary.csv`. It…,ok
Quote,https://vibe-hub.org/en/quote,en,quote,pages/en/quote.md,"A sourced quotation or excerpt set apart from the surrounding text. Use indentation, quotation marks, or a rule to separate an expert’s words or customer feedback from…",ok
Radio,https://vibe-hub.org/en/radio,en,radio,pages/en/radio.md,Choose exactly one option from a small set. Radio buttons show mutually exclusive choices such as payment method or visibility. Give the group a clear question and keep…,ok
Rate,https://vibe-hub.org/en/rate,en,rate,pages/en/rate.md,"Express a rating with stars or ordered levels. A rating control lets people show satisfaction on an ordered scale, often with five stars. Pair the graphic with a…",ok
Rate Limit,https://vibe-hub.org/en/rate-limit,en,rate-limit,pages/en/rate-limit.md,"A service limit on requests, tokens, or concurrent tasks within a period of time. After a limit is reached, a request may wait, slow down, or return 429. The exact…",ok
React,https://vibe-hub.org/en/react,en,react,pages/en/react.md,"A JavaScript library for building interactive interfaces from components and state. After an item is added to a cart, React can update the count from 2 to 3. Whether…",ok
ReAct,https://vibe-hub.org/en/react-pattern,en,react-pattern,pages/en/react-pattern.md,"A task pattern where an agent decides, acts with a tool, observes the result, and decides again. While researching competitors, an agent can decide what is missing…",ok
Redirect,https://vibe-hub.org/en/redirect,en,redirect,pages/en/redirect.md,"A redirect is a mechanism that sends a visit from one URL to another URL. When a product is renamed, an old link can automatically lead to its matching new address…",ok
Regression Test,https://vibe-hub.org/en/regression-test,en,regression-test,pages/en/regression-test.md,"Regression testing checks that a change has not broken functionality that previously worked. After tax changes, rerun payment, coupons, and confirmation; after…",ok
TTFT / TPS,https://vibe-hub.org/en/response-speed,en,response-speed,pages/en/response-speed.md,Measures of time to first output and of token generation speed after output begins. TTFT measures time from sending a request to receiving the first token. TPS measures…,ok
Responsive Design,https://vibe-hub.org/en/responsive-design,en,responsive-design,pages/en/responsive-design.md,"Responsive design is the practice of adapting one interface's layout and interaction to available space and device capabilities. At 1440px, a site may show three card…",ok
Result,https://vibe-hub.org/en/result,en,result,pages/en/result.md,"Explain the final outcome and the next available step. A result page or panel marks the end of a task, such as payment success, submission failure, or an empty…",ok
Rollback,https://vibe-hub.org/en/rollback,en,rollback,pages/en/rollback.md,"Rollback restores a system or configuration to a previous known-good state to stop current impact. If v2 causes abnormal login errors, switch the running image or…",ok
Route & Endpoint,https://vibe-hub.org/en/route,en,route,pages/en/route.md,"Match a request path and method to the code that handles it. A backend route, or endpoint, defines where a request goes and which methods it accepts. For example, GET…",ok
Search,https://vibe-hub.org/en/search,en,search,pages/en/search.md,"Search is a feature that uses a person's keywords to find potentially relevant results in a collection. After someone enters “budget,” projects whose name, description…",ok
Segmented,https://vibe-hub.org/en/segmented,en,segmented,pages/en/segmented.md,"Switch quickly between a few short, exclusive modes. A segmented control keeps several short options visible together. It often changes a view, sort order, or time…",ok
Select,https://vibe-hub.org/en/select,en,select,pages/en/select.md,Choose one value from a collapsed list. Use a select when answers come from a fixed list but do not need to stay visible all the time. A few options are clearer as…,ok
Selection,https://vibe-hub.org/en/selection,en,selection,pages/en/selection.md,"Show which text or items the user has selected. Selection highlights the text, rows, files, or objects included in the next action. Keep it distinct from hover and…",ok
SEO,https://vibe-hub.org/en/seo,en,seo,pages/en/seo.md,"SEO is ongoing work that helps search engines understand, discover, and present web content. A help article that truly answers a question with clear headings, body…",ok
Serif & Sans,https://vibe-hub.org/en/serif-sans,en,serif-sans,pages/en/serif-sans.md,Choose letterforms that match the content and reading task. Serif typefaces have finishing strokes; sans-serif typefaces do not. Neither is automatically more readable…,ok
Server Logs,https://vibe-hub.org/en/server-log,en,server-log,pages/en/server-log.md,"Record what the server did so problems can be traced. Server logs capture requests, errors, background jobs, and important state changes. Useful logs include time…",ok
Serverless,https://vibe-hub.org/en/serverless,en,serverless,pages/en/serverless.md,"Run backend code on demand without managing a long-running server. A serverless function is deployed to a managed platform and starts when an HTTP request, schedule, or…",ok
